S.No.,Subject,Topic,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Description
9147,Preventive and Social Medicine,epidemiology of communicable diseases,All are true regarding measles vaccine except :,freeze dried live attenuated vaccine,Single intramuscular dose of 0.5 ml,Is occasionally associated with TSS,Corttraiiâ€™tdicated in pregnancy,,5,
9148,Preventive and Social Medicine,epidemiology of communicable diseases,True about measles:,Koplik spot appears in Prodromal stage . fever stops after onset of Rash pevei,Vaccine given at 9 months,is not diagnosed when coryza and rhinitis is absent,Incubation period is 6 days,,5,
9149,Preventive and Social Medicine,epidemiology of communicable diseases,Koplik spots are seen,Prodromal stage,Incubation,Eruptive,ionvatcscent stage,,1,
9150,Preventive and Social Medicine,epidemiology of communicable diseases,Most serious complication of Measles is:,Koplik spots,parotitis,Meningoencephalitis,Nephritis,,3,
9151,Preventive and Social Medicine,epidemiology of communicable diseases,Most common cause of death due to measles is:,Pneumonia,Secondary bacterial infection,Measles encephalitis,Otitis media,,2,
9152,Preventive and Social Medicine,epidemiology of communicable diseases,Post-exposure Measles vaccine must be given within day(s) of exposure:,1 day,3 days,7 days,10 days,,2,"Outbreak Control Measures:, Isolation for 7 days after Onset of rash Immunization of contacts within 2 days of expoÂ¬sure_ Immunoglobulin administration within 3-4 days of exposure (if vaccine contraindicated)- Prompt immunization at beginning of Epidemic"
9153,Preventive and Social Medicine,epidemiology of communicable diseases,Supplementary immunization s ce for measles immunization: [NEETPattern 2075/,Keep up with >95% immunized,Catch up,Follow up,All of the above,,4,â€¢ Supplemental Immunization Activities (SIAs)/ Mass immunisation campaigns: Necessary to reach never- vaccinated children who have never had measles disÂ¬ease and to provide an opportunity for a second dose for cases of primary vaccine failureâ€¢ All children in the target age group and geographic area will be eligible to receive a dose of measles vacÂ¬cine irrespective of past immunisation or history of clinical measles
9154,Preventive and Social Medicine,epidemiology of communicable diseases,True about Measles: [NEET Pattern 2016],More in summer,Two types of vaccine,Infectivity decreases after appearance of rash,Incubation period is 10-14 days,,4,â€¢ MEASLES TRANSMISSIONâ€¢ Measles case is infective 4 days before to 5 days after appearance of rashMore commonly seen in winters and early spring in IndiaIncubation period: 10-14 daysOnly one type of vaccine (Live attenuated)
9155,Preventive and Social Medicine,epidemiology of communicable diseases,True about Measles rash appearance,Along with Koplik spots,1-2 days before Koplik spots,1-2 days after Koplik spots,Post-measles stage,,3,â€¢ Period of infectivity of Measles: 4 days before to 5 days after rash appearanceâ€¢ Period of Isolation for Measles: Onset of Catarrhal stage through 3rd day of rash
9156,Preventive and Social Medicine,epidemiology of communicable diseases,Period of isolation for Measles is from:,Onset of catarrhal symptoms to 3 days after,Onset of catarrhal symptoms to 7 days after,Onset of catarrhal symptoms to 6 days after,Onset of catarrhal symptoms to 8 days after,,1,
9157,Preventive and Social Medicine,epidemiology of communicable diseases,To eradicate measles the percentage of infant populaÂ_tion to be vaccinated is at least Â°/o:,70,80,85,95,,4,
9158,Preventive and Social Medicine,epidemiology of communicable diseases,"In Measles, infective period is:",3 days before and 4 days after the appearance of rash,Â Â Â Â  4 days before and 3 days after the appearance of rash,Â Â Â  4 days before and 5 days after the appearance of rash,5 days before and 4 days after the appearance of rash,,5,
9159,Preventive and Social Medicine,epidemiology of communicable diseases,The incubation period of Measles is:,3days,10 days,21 days,30 days,,2,
9160,Preventive and Social Medicine,epidemiology of communicable diseases,All are true about measles except: [MP 20001,Â  Both active and passive immunization are given simultaneously,Flaring tip of TB,Most infectious during rashes,Â  Causes pneumonia and otitis media,,5,
9161,Preventive and Social Medicine,epidemiology of communicable diseases,A baby was given a dose measles vaccine at 6 months of age due to epidemic of measles/ma!nutrition. Correct regarding giving subsequent dose will be,Give one more dose as soon as possible,Give after 14-16 months with booster dose,Give after 9 months age,No dose required,,3,"Priority groups for rubella vaccination in India:1st PRIORITY: 15 - 49 years reproductive age group females2nd priority: All children 1-14 years age3rd priority: Routine universal immunization of all children aged 1(ft) ( ALSO REMEMBER â€¢ Torchheimer's sign' occurs in 20% of cases, and is characterized by small, red papules on the area of the soft palate"
9162,Preventive and Social Medicine,epidemiology of communicable diseases,Recommended vaccination strategy for rubella is to vaccinate first and foremost:,Women 15-49 yrs,Infants,) Adolescent girls,Children 1-14 yrs,,1,"â€¢ Congenital Rubella Syndrome (CRS):â€¢ CRS is said to have occurred if:Infant has IgM rubella antibodies shortly after birth, orIgG antibodies persist for more than 6 monthsâ€¢ Major determinant of extent of fetal infection in CRS: Gestational age at which fetal transmission occurs,Iitfeclion in I trimester: MOST DISASTROUSTlME1. Abortions2. Still births3. Skin lesions: blueberry muffin lesions4. 'Triad of Congenital Rubella Syndrome'i. Sensorineural deafnessii. Congenital heart defects (MC is PDA)iii. CataractsInfection in early part of II Trimester: Deafness (only)Infection after 16 weeks POG: No major abnormalitiesâ€¢ Risk of fetal damage in CRS:Stage of gestation % fetuses Infected % fetuses damaged among infected Overall risk of damage< 11 weeks 90 100 9011-16 weeks 55 37 2017-26 weeks 33 0 027 - 36 weeks 53 0 033.34.35.â€¢ Other inanifestatimis of CRS nun/ include: spleen, liveror bone marrow problems, mental retardation,microcephaly, low birth weight, thrombocytopenicpurpura (characteristic 'blueberry muffin' rash),liepa Iomega ly, microgna thia"
9163,Preventive and Social Medicine,epidemiology of communicable diseases,Risk of the damage of fetus by maternal rubella is maxÂ_imum if mother gets infected in:,6-12 weeks of pregnancy,20-24 weeks of pregnancy,24-28 weeks of pregnancy,32-36 weeks of pregnancy,,1,
9164,Preventive and Social Medicine,epidemiology of communicable diseases,All of rhe fol lowing statements are true about CongeniÂ_tal Rubella except:,Â Â  It is diagnosed when the inl.ml has IgM antibodies al birth,It is diagnosed when IgG antibodies persist for more than 6 months,"Most common congenital defects are deafness, carÂ_diac malformations and cataract",Infection after 16 weeks of gestation results in major congenital defects,,4,
9165,Preventive and Social Medicine,Health programmesof,MMR vaccine is recommended at the age of:,9-12 months,15-18 months,2-3 years,10-19 years,,2,"â€¢ Alpha viruses: Eastern Equine encephalitis, Western Equine encephalitis, Venezuelan Equine encephalitis, Chikungunya feverâ€¢ Rubiviruses: Rubella (enveloped single-stranded posiÂ¬tive-sense RNA virus)"
9166,Preventive and Social Medicine,Epidemiology of communicable diseases,Rubella is caused by:,Orthomyxovirus,Paramyxovirus,Orthomyxovirus,Arbovirus group B,,5,
9167,Preventive and Social Medicine,Epidemiology of communicable diseases,Congenital Rubella Syndrome include all except:,Cataract [NEET Pattern 2019],VSD,Â  Intracerebral hemorrhage,SN deafness,,5,"â€¢ Classic triad (Greg's Triad): Sensorineural deafness, Eye abnormalities (microphthalmia, cataract and retinopathy). Congenital Heart Diseases (PDA, VSD, ASD, Coarctation of aorta)â€¢ Other manifestations: Spleen, liver and bone marrow involvement, mental retardation, microcephaly, Low Birth Weight, hepatomegaly, micrognathia, thromboÂ¬cytopenic purpura (leading to the characteristic BlueÂ¬berry Muffin Rash)â€¢ Predisposition to: Developmental delay, growth retar-dation, autism, schizophrenia, learning disabilities, diabetes, glaucoma"
9168,Preventive and Social Medicine,Epidemiology of communicable diseases,Rubella features include all except:,Tender lymph nodes in the neck,Congenital infection with cataract,Incubation period < 10 days,Caused by RNA virus,,3,
9169,Preventive and Social Medicine,Epidemiology of communicable diseases,M.C. complication of mumps in children is:,Pneumonia,Pancreatitis,Aseptic meningitis,Encephalitis,,3,
9170,Preventive and Social Medicine,Epidemiology of communicable diseases,Incubation period of Mumps is:,7 days,10 days,14 days,18 days,,4,
9171,Preventive and Social Medicine,Epidemiology of communicable diseases,Which of the following is not true about influenza viÂ_rus?,Influenza virus A is subject to frequent antigenic variations,Antigenic drift is a gradual antigenic change over a period of time,Antigenic shift is due to genetic recombination of virus,Major epidemics are due to antigenic drift,,5,"â€¢ Antigenic variations in Influenza: (MC in Type A)Occurs due to Antigenic shift Antigenic driftGenetic recombination/re- Hoint mutationassortment/ rearrangementNatureMay lead to SuaoenEpidemics/ Pandemics uraauai/insiaiousSporadic casesIncubation period: 18 - 72 hoursVaccines for Influenza:Killed vaccines:â€¢ 2 doses, 3-4 weeks apart, 0.5 m] reâ€¢ years), subcutaneousâ–  70-90% protective efficacy;months at% iâ–  Is rarely associated with Guillain.r>drome (GBS)Live attenuated vaccines:Stimulate local + systemic immunityâ–  Antigenic variations presents djffjcmanufacture tNewer vaccines:â–  Split virus vaccine: 'Sub-virion vaccine' antigenicity, fewer side effects ' Â°b:â–  Neuraminidase specific vaccine: 'Subunit vâ–  Recombinant vaccine"
9172,Preventive and Social Medicine,Epidemiology of communicable diseases,Newer Influenza vaccine includes:,Split - virus vaccine,Â  Neuraminidase,Live attenuated vaccine,Killed vaccine,Recombinant vaccine,1,"â–  Stimulate local + systemic immunityâ–  Antigenic variations presents djffjcmanufacture tNewer vaccines:â–  Split virus vaccine: 'Sub-virion vaccine' antigenicity, fewer side effects ' Â°b:â–  Neuraminidase specific vaccine: 'Subunit vâ–  Recombinant vaccine à¥_41. Ans. (a) Split - virus vaccine; (b) Neuratninidas Recombinant vaccine [Ref park 23/e pl6^'â€¢ Newer Influenza Vaccines:Split - virus vaccine:â–  Also known as 'Sub-virion vaccine'â–  Highly purifiedâ–  Lesser side effectsâ–  Less antigenic - multiple injections requiredâ–  Useful for childrenNeuraminidase - specific vaccine:â–  Sub-unit vaccine containing N-antigenâ–  Permits subclinical infection - long last^ immunityRecombinant vaccine:â–  Antigenic properties of virulent strain traÂ» ferred to a less virulent strainf ALSO REMEMBER Jâ€¢ H1N1 (Swine flu) Vaccine:â€¢ H1N1 huuâ€˜routed i'iu\ ine: Single 1/ m injection- Strain: A/Califomia/7/2(J09 (H1N1) V likesitib- Storage temperature: +2Â° to +8Â° C- Contraindications: History of anaphylaxis/* vere reaction/Guillian-Barre Syndrome, InMJ <6monlhs. Modernte-to-severe illness with fe""* Protective immunity: Develops after D (NOT 100%)â€¢ H1N1 Live attenuated vaccine: Nasal spray- Side effects: Rhinorrhoea, nasal cong.esÂ® cough, sore throat, fever, wheezing, vomit'11? , â€¢ Priority groups (in order) for Influenza vaccineÂ®*Pregnant women- Age > 6 months with chronic medical emâ€™d- 15-49 years healthy young adults- Healthy young children Healthy adults 49-65 years Healthy adults >65 years"
