S.No,System,Question,1,2,3,4,,Ans,Explanation
2628,Renal System,Micturition waves false statement is:,Iniitiated by stretch receptors in the urinary bladder,Are periodic acute rise in intravesicle pressure duing filling the bladder,Are superimposed on the tonic pressure changes,Occurs when intravesicle pressure rises above 100 H2O,,4,
2629,Renal System,Not a component of micturition reflex:,Stretch receptors in the bladder wall,"Dorsal nerve root S2,3,4",Parasympathetic efferent nerve,Sympathetic efferent nerve,,4,
2630,Renal System,False statement with reference to micturition reflex:,Initiated  at a urinary bladder volume of approx. 150 ml,Has a fixed threshold,Can be inhibited or facilitated  by centres in the brain stem,"Cannot be inhibited, once intravesicle pressure rises above 100 cm H2O",,2,
2631,Renal System,Facilitatory and inhibitory areas for micturition reflex are mainly located in the:,Medulla,Pons,Midbrain,Brain stem,,4,
2632,Renal System,Amount of urine left in the urinay bladder at the end of micturition is ‰Û_..ml:,50,100,150,Zero,,4,
2633,Renal System,The first urge to pass urine is felt at a urinary bladder volume of about ‰Û_ml:,50,100,150,250,,1,
2634,Renal System,"In a normal adult, the sense of fullness or discomfort is felt when urinary bladder volume is about ‰Û_.ml",200,400,600,800,,2,
2635,Renal System,In young children micturition is:,Controlled by higher centres,A spinal reflex,Voluntarily  controlled,A perfectly controlled activity,,2,
2636,Renal System,Postural activity of urinary bladder can be influenced by all except:,Emotional stress,Cystitis,Enuresis,Rest,,4,
2637,Renal System,Residual urine is:,Urine left in the urinary bladder after micturition,A normal phenomenon,Never seen with urinary bladder dysfunction,A common finding of examination anxiety,,1,
2638,Renal System,Deafferentation of urinary bladder is characterized by all except?,Voluntary micturition not possible,Person unaware of state of distension of bladder,Automatic bladder,Residual urine,,1,
2639,Renal System,Automatic bladder is seen in:,Spinal shock,Cauda equina lesion,Tabes dorsalis,Denervation,,3,
2640,Renal System,Denervation of urinary bladder may result in all of the following except:,Complete loss of voluntary micturition,Isolated bladder,Insufficient emptying,Automatic bladder,,4,
2641,Renal System,"In early stage of spinal shock, type of micturition not seen is:",Passive incontinence,Overflow incontinence,Retention with overflow,Mass reflex,,4,
2642,Renal System,Repeated infection of urinary bladder may lead to:,Flaccid distended and unresponsive bladder,Retention with overflow,Isolated bladder,Spastic neurogenic bladder,,4,
2643,Renal System,Spastic neurogenic bladder is:,Which contracts automatically as it fills up,"Contracted, thin walled and hypotonic",Which contracts at erregular intervals even with small amount of urine,Which when full causes escape of small amount of urine at frequent intervals,,3,
2644,Integrated Physiology,Human beings are:,Poikilothermic,Homeothermic,(a) and (b) both,Cold blooded animals,,2,
2645,Integrated Physiology,False about neutral (or comfortable) zone temperature is:,Ambient temperature at which no active  temperature regulatory mechanism operates,Normal is 27 +  2å¡C,Also called critical air temperature,Oral temperature of an individual,,4,
2646,Integrated Physiology,Regulation of body temperature is required:,To obtain neutral zone temperature,To speed up chemical reactions within the body,Because enzyme system of body has narrow temperature range to function,To prevent body invasion by bacteria,,3,
2647,Integrated Physiology,To convert å¡C to å¡F:,Multiply by 9/5 and substract 32,Multiply by 5/9 and substract 32,Subtract 32 and multiply by 5/9,Multiply by 9/5 and add 32,,4,
2648,Integrated Physiology,Oral temperature:,An accurate index of body temperature,Remains fairly constant under different conditions,Closely correlated with rise of temperature in subclavian artery,Thermoregulatory receptors are sensitive to it,,3,
2649,Integrated Physiology,"Core temperature, false statement is:",Also called internal body temperature,Hypothalamic thermoregulatory  receptors are sensitive to it,Changes least with changes in environmental temperature,Shows wide variation during day to day activity,,4,
2650,Integrated Physiology,Sites which reflects the true value of core temperature are all except:,Oesophagus and rectum,Tympanic membrane,Vagina,Mouth,,4,
2651,Integrated Physiology,False about body temperature in a normal healthy person:,Average oral temperature is 37å¡C,Diurnal variation upto 0.5å¡C may occur,Maximum reading in the early morning,Rectal temperature is 0.5-1å¡C more than oral temperature,,3,
2652,Integrated Physiology,Lower and upper lethal core temperatures respectively are:,5å¡C below and above the normal,7å¡C below and above the normal,26å¡C and 43.5å¡C,30å¡C and 41å¡C,,3,
2653,Integrated Physiology,Core temperatur of 26å¡C leads to death due to:,Brain damage,Respiratory insufficiency,Cardiac failure,Renal damage,,3,
2654,Integrated Physiology,Rectal temperature is higher than oral temperature by‰Û_...å¡C:,0.5-1,01-Feb,02-Mar,03-Apr,,1,
2655,Integrated Physiology,Infact' core temperature is generally more by 0.5å¡C than adults' normal not due to:,Irregular activites,Brown fat,Thermoregulatory mechanisms are not fully  developed,Higher resting HR,,4,
2656,Integrated Physiology,In old age internal body temperature is ‰Û_..the established norms:,Same,Below,Above,Variable,,2,
2657,Integrated Physiology,Normal body temperature can be raised by:,Androgens,Gonadotrophins,Oestrogen,Progesterone,,4,
2658,Integrated Physiology,Circadial fluctuation in body temperature may occur in healthy individuals upto‰Û_.å¡C:,0.5,1.5,2,Not-seen,,2,
2659,Integrated Physiology,"During severe exercise, core temperature may rise by ‰Û_...å¡C:",03-Apr,04-May,05-Jun,06-Jul,,1,
2660,Integrated Physiology,A major factor resulting in increase in body temperature during exercise is:,Heat dissipating mechanisms inefficient,Enormous thermogenesis,Vasoconstriction in non-working muscles,Resetting of thermostat,,4,
2661,Integrated Physiology,Not a cause of thermogenesis in the body:,Skeletal muscles contraction,Assimilation of food,Decreased cardiac metabolism,Thyroxine,,3,
2662,Integrated Physiology,"A person who is under complete physical and mental rest, the various forms of energy are converted into:",Pressure energy,Kinetic energy of circulation,Heat,Energy required for digestion and absorption,,3,
2663,Integrated Physiology,"In the clinical determination of BMR it is necessary according to common practice, to measure the patient's",Surface area,Lean body mass,Specific gravity,Height and weight,,4,
2664,Integrated Physiology,BMR is dependent on:,Body weight,Body surface area,Amount of adipose tissue,Amount of lean body mass,,2,
2665,Integrated Physiology,BMR can be estimated by all except:,By measuring person's total heat production over a certain period,From total food consumption provided RQ is known,From oxygen consumption provided RQ is known,From CO2 production if RQ is known,,2,
2666,Integrated Physiology,A major source of production in infants is:,Increased musclar activity,Brown fat,Increased sympathetic activity,Specific dynamic action of food,,2,
2667,Integrated Physiology,How many Kcals are required by a person weighing 70 Kg to raise his body temperature by 1å¡C?,7,14,28,56,,4,
2668,Integrated Physiology,Heat is lost from the body by all except:,Radiation,Conduction,Convection,Curling up,,4,
2669,Integrated Physiology,At normal room temperature most body heat loss is by:,Convention,Conduction,Radiation,Sweating,,3,
2670,Integrated Physiology,Under physiological condition heat acclimatization is accomplished by all except:,Decreased renal blood flow,Increased urine sodium,Increased aldosterone secretion,Excessive sweating,,2,
2671,Integrated Physiology,At environmental temperature of 36å¡C most important  mechanism of heat loss is by:,Sweating,Radiation,Conduction,Insensible perspiration,,2,
2672,Integrated Physiology,The only available mechanism of heat transfer when the environmental temperature is greater than the body temperature is?,Radiation,Conduction,Convection,Evaporation,,4,
2673,Integrated Physiology,About ‰Û_..% of heat is lost by evaporation from body including lungs:,10,20,30,40,,3,
2674,Integrated Physiology,"Normally, insensible water loss (perspiration) through skin per day is:",400-600 ml,600-800 ml,800-1000 ml,1000-1200 ml,,4,
2675,Integrated Physiology,Vaporization of 1 gm (about 1 ml) of water removes approx ‰Û_..of heat:,200 calories,400 calories,600 calories,800 calories,,3,This is equal to 0.6 Kcal]
2676,Integrated Physiology,Heat loss process of the body not direclty under physiological control is;,Radiation from body,Conduction and convection surroundings,Vaporization of sweat,Warming of inspired air,,4,
2677,Integrated Physiology,Insensible water loss (perspiration) will be absent if humidity is:,50%,70%,90%,100%,,4,
2678,Integrated Physiology,Constituents of secreted sweat are similar to plasma except for:,Proteins,Chloride,Bicarbonate,Potassium,,1,
2679,Integrated Physiology,Thermal sweating differs from non-thermal sweating in all of following except:,Eccrine gland are responsible for it,Occurs due to activation of sympathetic cholinergic nerves,"Found mainly over palm, sole and axilla",Apocrine glands are responsible for it,,4,
2680,Integrated Physiology,The hormones associated with cold adaptation is:,Growth hormone,Thyroxine,Insulin,Melanocyte stimulation hormone,,2,
2681,Integrated Physiology,Sweating as a result of excretion is mediated through:,Adrenal hormones,Sympathetic cholinergic,Sympathetic adrenergic,Parasympathetic cholinergic,,2,
2682,Integrated Physiology,"In an unacclimatised person suddenly exposed to cold atmosphere, changes seen are:",Increase in systolic  blood pressure,Shift of blood from shell to core,Non-thermogenic shivering,Tachycardia,,2,
2683,Integrated Physiology,One feels hotter on a humid day because:,Rate of sweating increases,Surrounding temperature is more,Heat loss by the body via process of radiation decreases,Rate of evaporation of water from body decreases,,4,
2684,Integrated Physiology,Body temperature will rise sharply  when exposed in an atmosphere of:,"Over 100å¡C, dry air","50å¡C, damp air","25å¡C, dry air","25å¡C, damp air",,2,
2685,Integrated Physiology,"When an individual is naked in a room in which the air temperature is 21å¡C (69.8å¡F) and humidity 80%, the greatest amount of heat is lost from the body by:",Respiration,Vaporization of sweat,Radiation  and conduction,Elevated metabolism,,3,
2686,Integrated Physiology,Shivering can increase the rate of heat production upto ‰Û_.times:,2,3,5,8,,2,
2687,Integrated Physiology,"During exposure to cold, body temperature is raised by all except:",Vasoconstriction in the skin,Horripilation,Thermogenesis,Perspiration,,4,
2688,Integrated Physiology,When the core temperature of the body falls below the hypothalamic set-point temperature not seen in:,The blood vessels of the skin constrict,Heat production increase within minutes,The basal metabolic rate increases,Thermal shivering,,4,
2689,Integrated Physiology,True about non-shivering thermogenesis:,Glucose converted to lactate,Fatty acids show uncoupled oxidative phosphorylation,ADP is burnt with heat,Adipose tissue is entirely absent,,2,
2690,Integrated Physiology,Non-shivering thermogenesis in adults is due to:,Thyroid hormone,Brown fat between the shoulders,Noradrenaline,Muscle metabolism,,3,
2691,Integrated Physiology,A 10 degree decrease in temperature causes decrease in cerebral metabolic rate by:,10%,30%,50%,70%,,4,
2692,Integrated Physiology,A person who has been cold acclimatized shows all changes except:,Hypothermic response,Increased vascular insulation,Initiation of shivering at lower temperature,Decreased metabolism,,4,
2693,Integrated Physiology,False statement regarding horripilation:,Seen during exposure to cold,Activation by anterior hypothalamus,Result in goose pimple,Increase the thickness of the trapped air,,2,
2694,Integrated Physiology,"In human being, the least useful physiological response to low environmental temperature is:",Shivering,Vasoconstriction,Release of thyroxine,Pilocerection,,4,
2695,Integrated Physiology,Integration of temperature information by the nervous system occurs mainly in the:,Spinal cord,Hypothalamus,Amygdala,Peripheral receptors,,2,
